title,genres,year,clean_title,source
Power Rangers RPM,kids' tv,2009,power rangers rpm,Netflix
Power Rangers S.P.D.,kids' tv,2005,power rangers spd,Netflix
Power Rangers Samurai,kids' tv,2011,power rangers samurai,Netflix
"Power Rangers Samurai: Christmas Together, Friends Forever (Christmas Special)",movies,2011,power rangers samurai christmas together friends forever christmas special,Netflix
Power Rangers Samurai: Clash of the Red Rangers,children & family movies,2011,power rangers samurai clash of the red rangers,Netflix
Power Rangers Samurai: Party Monsters (Halloween Special),movies,2011,power rangers samurai party monsters halloween special,Netflix
Power Rangers Super Megaforce,kids' tv,2014,power rangers super megaforce,Netflix
Power Rangers Super Megaforce: The Legendary Battle (Extended),movies,2014,power rangers super megaforce the legendary battle extended,Netflix
Power Rangers Super Samurai,kids' tv,2012,power rangers super samurai,Netflix
Power Rangers Super Samurai: Stuck on Christmas,"children & family movies, sci-fi & fantasy",2012,power rangers super samurai stuck on christmas,Netflix
Power Rangers Super Samurai: Trickster Treat,movies,2012,power rangers super samurai trickster treat,Netflix
Power Rangers Time Force,kids' tv,2001,power rangers time force,Netflix
Power Rangers Turbo,kids' tv,1997,power rangers turbo,Netflix
Power Rangers Wild Force,kids' tv,2002,power rangers wild force,Netflix
Power Rangers Zeo,kids' tv,1996,power rangers zeo,Netflix
Power Rangers: Megaforce,kids' tv,2013,power rangers megaforce,Netflix
Power Rangers: Megaforce: Raising Spirits,children & family movies,2013,power rangers megaforce raising spirits,Netflix
Power Rangers: Megaforce: The Robo Knight Before Christmas,children & family movies,2013,power rangers megaforce the robo knight before christmas,Netflix
Prague,"dramas, independent movies, international movies",2013,prague,Netflix
Prelude to War,"classic movies, documentaries",1942,prelude to war,Netflix
Premachi Goshta,"international movies, romantic movies",2013,premachi goshta,Netflix
Prescription Thugs,documentaries,2015,prescription thugs,Netflix
Primal Fear,"dramas, thrillers",1996,primal fear,Netflix
Prince Charming,"comedies, international movies, romantic movies",1984,prince charming,Netflix
Prince Jai Aur Dumdaar Viru,"kids' tv, tv comedies",2017,prince jai aur dumdaar viru,Netflix
Princess Cyd,"dramas, independent movies, lgbtq movies",2017,princess cyd,Netflix
Professor Mack,"comedies, romantic movies",2018,professor mack,Netflix
Prohibition: A Film by Ken Burns and Lynn Novick,"crime tv shows, docuseries",2011,prohibition a film by ken burns and lynn novick,Netflix
Prosecuting Evil: The Extraordinary World of Ben Ferencz,documentaries,2019,prosecuting evil the extraordinary world of ben ferencz,Netflix
Psiconautas,"international tv shows, spanish-language tv shows, tv comedies",2016,psiconautas,Netflix
Pukar,"action & adventure, dramas, international movies",2000,pukar,Netflix
Pulp Fiction,"classic movies, cult movies, dramas",1994,pulp fiction,Netflix
Punjab 1984,"dramas, international movies",2014,punjab 1984,Netflix
Pusher,action & adventure,2012,pusher,Netflix
Pyaar Ka Punchnama,"comedies, dramas, international movies",2011,pyaar ka punchnama,Netflix
Pyaar Tune Kya Kiya,"international tv shows, romantic tv shows, tv dramas",2014,pyaar tune kya kiya,Netflix
Q Ball,"documentaries, sports movies",2019,q ball,Netflix
Qué pena tu serie,"international tv shows, romantic tv shows, spanish-language tv shows",2015,qu pena tu serie,Netflix
Quantum of Solace,action & adventure,2008,quantum of solace,Netflix
Queen of No Marriage,"international tv shows, romantic tv shows, tv comedies",2009,queen of no marriage,Netflix
Queen of the Desert,dramas,2015,queen of the desert,Netflix
Queens of Comedy,"international tv shows, stand-up comedy & talk shows, tv comedies",2017,queens of comedy,Netflix
Queens vs. Kings,"stand-up comedy & talk shows, tv comedies",2018,queens vs kings,Netflix
R.L. Stine's Mostly Ghostly,"children & family movies, comedies",2008,rl stines mostly ghostly,Netflix
Rab Se Sohna Isshq,"international tv shows, romantic tv shows, tv dramas",2012,rab se sohna isshq,Netflix
Race to Witch Mountain,children & family movies,2009,race to witch mountain,Netflix
Rachel Getting Married,"dramas, independent movies",2008,rachel getting married,Netflix
Radical: the Controversial Saga of Dada Figueiredo,"documentaries, international movies, sports movies",2013,radical the controversial saga of dada figueiredo,Netflix
Radiopetti,"dramas, international movies",2015,radiopetti,Netflix
Raging Bull,"classic movies, dramas, sports movies",1980,raging bull,Netflix
Rahasya,"dramas, international movies",2015,rahasya,Netflix
Raiders!: The Story of the Greatest Fan Film Ever Made,documentaries,2015,raiders the story of the greatest fan film ever made,Netflix
Railroad Tigers,"action & adventure, comedies, international movies",2016,railroad tigers,Netflix
Raja Hindustani,"dramas, international movies, romantic movies",1996,raja hindustani,Netflix
Rajnigandha,"comedies, dramas, independent movies",1974,rajnigandha,Netflix
Ralph Breaks the Internet: Wreck-It Ralph 2,"children & family movies, comedies",2018,ralph breaks the internet wreckit ralph 2,Netflix
Ram Teri Ganga Maili,"classic movies, dramas, international movies",1985,ram teri ganga maili,Netflix
Ramayan,"international tv shows, tv dramas",2012,ramayan,Netflix
Ramen Shop,"dramas, international movies",2018,ramen shop,Netflix
Ramji Londonwaley,"comedies, dramas, international movies",2005,ramji londonwaley,Netflix
Rampant,"action & adventure, horror movies, international movies",2018,rampant,Netflix
Ranbhool,"horror movies, international movies, thrillers",2010,ranbhool,Netflix
Rangreza,"dramas, international movies, music & musicals",2017,rangreza,Netflix
Rats,documentaries,2016,rats,Netflix
Razia Sultan,"international tv shows, romantic tv shows, tv dramas",2015,razia sultan,Netflix
Reaction,"dramas, international movies",2011,reaction,Netflix
Ready,"comedies, international movies, romantic movies",2011,ready,Netflix
Reality of Dream,"international tv shows, romantic tv shows, tv dramas",2015,reality of dream,Netflix
Rebel Without a Cause,"classic movies, dramas",1955,rebel without a cause,Netflix
Rebelde,"international tv shows, romantic tv shows, spanish-language tv shows",2004,rebelde,Netflix
Recall,dramas,2018,recall,Netflix
Rectify,"crime tv shows, tv dramas, tv mysteries",2016,rectify,Netflix
Red Christmas,horror movies,2016,red christmas,Netflix
Red Dawn,"action & adventure, cult movies",1984,red dawn,Netflix
Red Oleanders Raktokarobi,"dramas, international movies",2017,red oleanders raktokarobi,Netflix
Red Trees,"documentaries, international movies",2017,red trees,Netflix
Red vs. Blue,"tv action & adventure, tv comedies, tv sci-fi & fantasy",2015,red vs blue,Netflix
Refugee,documentaries,2016,refugee,Netflix
Regatta,"action & adventure, dramas, international movies",2015,regatta,Netflix
Reggie Yates Outside Man,"british tv shows, docuseries, international tv shows",2017,reggie yates outside man,Netflix
Reincarnated,"documentaries, music & musicals",2012,reincarnated,Netflix
Rembat,"action & adventure, comedies, international movies",2015,rembat,Netflix
Remember,"action & adventure, dramas",2015,remember,Netflix
Remember Me,"dramas, romantic movies",2010,remember me,Netflix
Rememory,"dramas, sci-fi & fantasy",2017,rememory,Netflix
Republic of Doyle,"crime tv shows, tv comedies, tv dramas",2014,republic of doyle,Netflix
Resident Evil: Afterlife,"action & adventure, horror movies, sci-fi & fantasy",2010,resident evil afterlife,Netflix
Residente,"documentaries, music & musicals",2017,residente,Netflix
Restless Creature: Wendy Whelan,documentaries,2016,restless creature wendy whelan,Netflix
Return To The 36th Chamber,"action & adventure, comedies, international movies",1980,return to the 36th chamber,Netflix
Revelations,"dramas, international movies",2016,revelations,Netflix
Revenge,"crime tv shows, international tv shows, tv dramas",2017,revenge,Netflix
Revenge of the Green Dragons,"action & adventure, dramas, independent movies",2014,revenge of the green dragons,Netflix
Revolting Rhymes,"british tv shows, kids' tv",2017,revolting rhymes,Netflix
Revolutionary Road,"dramas, romantic movies",2008,revolutionary road,Netflix
Rezeta,"dramas, independent movies, international movies",2012,rezeta,Netflix
"Rica, Famosa, Latina","international tv shows, reality tv, spanish-language tv shows",2016,rica famosa latina,Netflix
Righteous Kill,"dramas, thrillers",2008,righteous kill,Netflix
Ringan,"dramas, international movies",2015,ringan,Netflix
Ripper Street,"british tv shows, crime tv shows, tv dramas",2017,ripper street,Netflix
Rise of the Zombie,"horror movies, international movies",2013,rise of the zombie,Netflix
Rishta.com,"international tv shows, romantic tv shows, tv comedies",2010,rishtacom,Netflix
Rivaaz,"dramas, independent movies, international movies",2011,rivaaz,Netflix
Road to Sangam,"dramas, independent movies, international movies",2010,road to sangam,Netflix
Road to Yesterday,"dramas, international movies",2015,road to yesterday,Netflix
Roberto Saviano: Writing Under Police Protection,"documentaries, international movies",2016,roberto saviano writing under police protection,Netflix
Robin Hood: The Rebellion,"action & adventure, independent movies, international movies",2018,robin hood the rebellion,Netflix
Robotech,anime series,1985,robotech,Netflix
Rocky,"action & adventure, classic movies, dramas",1976,rocky,Netflix
Rocky II,"dramas, sports movies",1979,rocky ii,Netflix
Rocky III,"dramas, sports movies",1982,rocky iii,Netflix
Rocky IV,"dramas, sports movies",1985,rocky iv,Netflix
Rocky V,"dramas, sports movies",1990,rocky v,Netflix
Roger Corman's Death Race 2050,"action & adventure, sci-fi & fantasy",2017,roger cormans death race 2050,Netflix
Roh's Beauty,"dramas, international movies",2014,rohs beauty,Netflix
Roll Red Roll,documentaries,2018,roll red roll,Netflix
Rolling Papers,documentaries,2015,rolling papers,Netflix
Romeo Ranjha,"action & adventure, comedies, music & musicals",2014,romeo ranjha,Netflix
Room,"dramas, independent movies",2015,room,Netflix
Room for Rent,"comedies, independent movies",2017,room for rent,Netflix
Room on the Broom,"children & family movies, independent movies",2012,room on the broom,Netflix
Roonpi Secret Love,"international tv shows, romantic tv shows, teen tv shows",2016,roonpi secret love,Netflix
Roots,"documentaries, international movies, music & musicals",2016,roots,Netflix
Rosemary's Baby,"classic movies, horror movies, thrillers",1968,rosemarys baby,Netflix
Rounders,dramas,1998,rounders,Netflix
Royal Pains,"tv comedies, tv dramas",2016,royal pains,Netflix
Rubi,"international tv shows, romantic tv shows, spanish-language tv shows",2004,rubi,Netflix
Rukh,"dramas, independent movies, international movies",2017,rukh,Netflix
Rumble,"action & adventure, independent movies",2016,rumble,Netflix
Rumble in the Bronx,"action & adventure, comedies, international movies",1995,rumble in the bronx,Netflix
Rumor Has It,"comedies, romantic movies",2005,rumor has it,Netflix
Run,"action & adventure, international movies, music & musicals",2004,run,Netflix
Runaway Bride,"comedies, romantic movies",1999,runaway bride,Netflix
Running for Grace,"dramas, romantic movies",2018,running for grace,Netflix
Running Out Of Time,thrillers,2018,running out of time,Netflix
Rurouni Kenshin,"anime series, international tv shows",1998,rurouni kenshin,Netflix
Russell Madness,"children & family movies, comedies, sports movies",2015,russell madness,Netflix
Russell Peters vs. the World,"docuseries, stand-up comedy & talk shows",2013,russell peters vs the world,Netflix
Russell Peters: Notorious,stand-up comedy,2013,russell peters notorious,Netflix
Rustom,"dramas, international movies",2016,rustom,Netflix
S Is for Stanley,"documentaries, international movies",2016,s is for stanley,Netflix
S.W.A.T.,action & adventure,2003,swat,Netflix
Saath Saath,"dramas, independent movies, international movies",1982,saath saath,Netflix
Sacro GRA,"documentaries, international movies",2013,sacro gra,Netflix
Sadece Sen,"dramas, international movies, romantic movies",2014,sadece sen,Netflix
Sadie's Last Days on Earth,"comedies, sci-fi & fantasy",2016,sadies last days on earth,Netflix
Sadma,"dramas, international movies, romantic movies",1983,sadma,Netflix
Sadqay Tumhare,"international tv shows, romantic tv shows, tv dramas",2014,sadqay tumhare,Netflix
Saeed Mirza: The Leftist Sufi,"documentaries, international movies",2016,saeed mirza the leftist sufi,Netflix
Safety Not Guaranteed,"comedies, independent movies, romantic movies",2012,safety not guaranteed,Netflix
Saheb Bibi Golaam,"dramas, international movies",2016,saheb bibi golaam,Netflix
Sairat,"dramas, international movies, romantic movies",2016,sairat,Netflix
Sakhi,"dramas, international movies, music & musicals",2007,sakhi,Netflix
Salem: His Sister's Father,"dramas, international movies",2014,salem his sisters father,Netflix
Samantaral,"dramas, international movies",2017,samantaral,Netflix
Samarppanam,"dramas, international movies",2017,samarppanam,Netflix
Sameer Abu Alneel,"comedies, international movies",2013,sameer abu alneel,Netflix
Samson,"action & adventure, dramas, faith & spirituality",2018,samson,Netflix
Samudri Lootere,children & family movies,2018,samudri lootere,Netflix
San Pietro,"classic movies, documentaries",1945,san pietro,Netflix
Sanai Choughade,"comedies, dramas, international movies",2008,sanai choughade,Netflix
Sangam,"classic movies, dramas, international movies",1964,sangam,Netflix
Santa Claws,"children & family movies, comedies",2014,santa claws,Netflix
Santa's Apprentice,children & family movies,2010,santas apprentice,Netflix
Sarah's Key,"dramas, international movies",2010,sarahs key,Netflix
Sardaar ji,"comedies, international movies, music & musicals",2015,sardaar ji,Netflix
Sardaarji 2,"action & adventure, comedies, international movies",2016,sardaarji 2,Netflix
Sarivar Sari,"dramas, international movies",2005,sarivar sari,Netflix
Sarvopari Palakkaran,"dramas, international movies",2017,sarvopari palakkaran,Netflix
Sat Sri Akal,"dramas, faith & spirituality, international movies",2008,sat sri akal,Netflix
Satan & Adam,"documentaries, music & musicals",2018,satan  adam,Netflix
Satrangi,"docuseries, international tv shows",2014,satrangi,Netflix
Satrangi Re,"dramas, international movies, music & musicals",2012,satrangi re,Netflix
Satte Pe Satta,"comedies, cult movies, dramas",1982,satte pe satta,Netflix
Saturday Church,"dramas, lgbtq movies",2017,saturday church,Netflix
Savage Dog,"action & adventure, independent movies",2017,savage dog,Netflix
Savage Raghda,"comedies, international movies, romantic movies",2018,savage raghda,Netflix
Save Our Shelter,reality tv,2015,save our shelter,Netflix
Saving Mr. Banks,"comedies, dramas",2013,saving mr banks,Netflix
Saving Zoë,dramas,2019,saving zo,Netflix
Say When,"comedies, dramas, independent movies",2014,say when,Netflix
Scales: Mermaids Are Real,children & family movies,2017,scales mermaids are real,Netflix
Scandal,"crime tv shows, tv dramas",2018,scandal,Netflix
Scandal in Sorrento,"classic movies, comedies, independent movies",1955,scandal in sorrento,Netflix
Scary Movie,"comedies, horror movies",2000,scary movie,Netflix
Scary Movie 5,"comedies, horror movies",2013,scary movie 5,Netflix
Schindler's List,"classic movies, dramas",1993,schindlers list,Netflix
School Daze,"comedies, dramas",1988,school daze,Netflix
Scooby-Doo on Zombie Island,children & family movies,1998,scoobydoo on zombie island,Netflix
Scott Pilgrim vs. the World,"action & adventure, comedies, cult movies",2010,scott pilgrim vs the world,Netflix
Scream 2,horror movies,1997,scream 2,Netflix
Scream 3,horror movies,2000,scream 3,Netflix
Seal Team Six: The Raid on Osama Bin Laden,action & adventure,2012,seal team six the raid on osama bin laden,Netflix
Searching for Bobby Fischer,"children & family movies, classic movies, dramas",1993,searching for bobby fischer,Netflix
Searching for Sugar Man,"documentaries, international movies, music & musicals",2012,searching for sugar man,Netflix
Season of the Witch,"action & adventure, sci-fi & fantasy",2011,season of the witch,Netflix
Secret,"dramas, international movies, music & musicals",2007,secret,Netflix
Secret Affair,"international tv shows, korean tv shows, romantic tv shows",2014,secret affair,Netflix
Secret in Their Eyes,"dramas, thrillers",2015,secret in their eyes,Netflix
Secrets of Althorp - The Spencers,"documentaries, international movies",2013,secrets of althorp  the spencers,Netflix
Secrets of Chatsworth,"documentaries, international movies",2013,secrets of chatsworth,Netflix
Secrets of Henry VIII's Palace: Hampton Court,"documentaries, international movies",2013,secrets of henry viiis palace hampton court,Netflix
Secrets of Her Majesty's Secret Service,"documentaries, international movies",2014,secrets of her majestys secret service,Netflix
Secrets of Highclere Castle,"documentaries, international movies",2013,secrets of highclere castle,Netflix
Secrets of Scotland Yard,documentaries,2013,secrets of scotland yard,Netflix
Secrets of Selfridges,documentaries,2014,secrets of selfridges,Netflix
Secrets of the Tower of London,documentaries,2013,secrets of the tower of london,Netflix
Secrets of Underground London,"documentaries, international movies",2014,secrets of underground london,Netflix
Secrets of Westminster,"documentaries, international movies",2014,secrets of westminster,Netflix
Sen Kimsin?,"comedies, international movies",2012,sen kimsin,Netflix
Senna,"documentaries, international movies, sports movies",2010,senna,Netflix
Sensitive Skin,tv comedies,2016,sensitive skin,Netflix
"Septiembre, un llanto en silencio","dramas, independent movies, international movies",2017,septiembre un llanto en silencio,Netflix
Servant of the People,"international tv shows, tv comedies",2015,servant of the people,Netflix
Set Up,action & adventure,2011,set up,Netflix
Sex and the City 2,"comedies, dramas, romantic movies",2010,sex and the city 2,Netflix
Sex and the City: The Movie,"comedies, dramas, romantic movies",2008,sex and the city the movie,Netflix
Sex Doll,"dramas, international movies, romantic movies",2016,sex doll,Netflix
"Sexo, Pudor y Lagrimas","comedies, dramas, international movies",1999,sexo pudor y lagrimas,Netflix
SGT. Will Gardner,dramas,2019,sgt will gardner,Netflix
Shadow of Truth,"crime tv shows, docuseries, international tv shows",2016,shadow of truth,Netflix
Shahanpan Dega Deva,"comedies, international movies",2011,shahanpan dega deva,Netflix
Shaka Zulu,tv dramas,1986,shaka zulu,Netflix
Shakti: The Power,"dramas, international movies, thrillers",2002,shakti the power,Netflix
Shanghai,"dramas, independent movies, international movies",2012,shanghai,Netflix
Shararat,"comedies, international movies, music & musicals",2002,shararat,Netflix
Shark Busters,"dramas, international movies",2002,shark busters,Netflix
Shark Night,horror movies,2011,shark night,Netflix
Shaurya: It Takes Courage to Make Right... Right,"dramas, international movies",2008,shaurya it takes courage to make right right,Netflix
She Did That,documentaries,2019,she did that,Netflix
Shelter,"horror movies, thrillers",2010,shelter,Netflix
Sherlock,"british tv shows, crime tv shows, international tv shows",2017,sherlock,Netflix
Sherlock Holmes,"action & adventure, comedies",2009,sherlock holmes,Netflix
Shiva,"action & adventure, dramas, international movies",1990,shiva,Netflix
Shopkins: Chef Club,movies,2016,shopkins chef club,Netflix
Shopkins: Wild,movies,2018,shopkins wild,Netflix
Shopkins: World Vacation,movies,2017,shopkins world vacation,Netflix
Shorgul,"dramas, international movies",2016,shorgul,Netflix
Short Term 12,"dramas, independent movies",2013,short term 12,Netflix
Shorts,"children & family movies, comedies",2009,shorts,Netflix
SHOT! The Psycho-Spiritual Mantra of Rock,"documentaries, music & musicals",2016,shot the psychospiritual mantra of rock,Netflix
Shuddhi,"dramas, international movies, thrillers",2017,shuddhi,Netflix
Shutter,"horror movies, international movies",2004,shutter,Netflix
Sicilian Ghost Story,"dramas, international movies, thrillers",2017,sicilian ghost story,Netflix
Sid the Science Kid,kids' tv,2008,sid the science kid,Netflix
Siddhant,"dramas, independent movies, international movies",2014,siddhant,Netflix
Silencer,"action & adventure, independent movies",2018,silencer,Netflix
Silent Hill: Revelation,horror movies,2012,silent hill revelation,Netflix
Silicon Cowboys,documentaries,2016,silicon cowboys,Netflix
Silver Spoon,"crime tv shows, international tv shows, tv action & adventure",2015,silver spoon,Netflix
Sin senos no hay paraíso,"international tv shows, spanish-language tv shows, tv dramas",2008,sin senos no hay paraso,Netflix
Singh Saab the Great,"action & adventure, dramas, international movies",2013,singh saab the great,Netflix
Single,"comedies, international movies, romantic movies",2015,single,Netflix
Singularity,"action & adventure, dramas, sci-fi & fantasy",2017,singularity,Netflix
Sinister Circle,"horror movies, international movies",2017,sinister circle,Netflix
Siren,horror movies,2016,siren,Netflix
Sister Code,"comedies, dramas, romantic movies",2015,sister code,Netflix
Skin Trade,action & adventure,2014,skin trade,Netflix
Skin Wars,reality tv,2016,skin wars,Netflix
Skin Wars: Fresh Paint,reality tv,2016,skin wars fresh paint,Netflix
Skiptrace,"action & adventure, comedies",2016,skiptrace,Netflix
Sky on Fire,"action & adventure, international movies",2016,sky on fire,Netflix
Skydancers,"documentaries, sports movies",2014,skydancers,Netflix
Skyline,"action & adventure, sci-fi & fantasy",2010,skyline,Netflix
Sleeping with Other People,"comedies, dramas, independent movies",2015,sleeping with other people,Netflix
Sleepover,"comedies, romantic movies",2004,sleepover,Netflix
Sling Blade,"dramas, independent movies",1996,sling blade,Netflix
Sliver,thrillers,1993,sliver,Netflix
Slobby's World,reality tv,2018,slobbys world,Netflix
Slow West,"action & adventure, dramas, international movies",2015,slow west,Netflix
Small Soldiers,"action & adventure, comedies, sci-fi & fantasy",1998,small soldiers,Netflix
Smart People,"comedies, dramas, independent movies",2008,smart people,Netflix
Smash: Motorized Mayhem,"documentaries, sports movies",2017,smash motorized mayhem,Netflix
SMOSH: The Movie,comedies,2015,smosh the movie,Netflix
Sniper: Special Ops,"action & adventure, dramas",2016,sniper special ops,Netflix
Socha Na Tha,"comedies, international movies, romantic movies",2005,socha na tha,Netflix
Social Animals,documentaries,2018,social animals,Netflix
Soekarno,"dramas, international movies",2013,soekarno,Netflix
Solo Con Tu Pareja,"comedies, independent movies, international movies",1991,solo con tu pareja,Netflix
Solo: A Star Wars Story,"action & adventure, children & family movies, sci-fi & fantasy",2018,solo a star wars story,Netflix
Solo: A Star Wars Story (Spanish Version),"action & adventure, children & family movies, sci-fi & fantasy",2018,solo a star wars story spanish version,Netflix
Solomon Kane,"action & adventure, international movies, sci-fi & fantasy",2009,solomon kane,Netflix
Some Freaks,"dramas, romantic movies",2017,some freaks,Netflix
Something's Gotta Give,"comedies, romantic movies",2003,somethings gotta give,Netflix
Son of a Gun,"action & adventure, dramas, independent movies",2014,son of a gun,Netflix
Sons of Ben,"documentaries, sports movies",2016,sons of ben,Netflix
Sotus The Series,"international tv shows, romantic tv shows, tv dramas",2016,sotus the series,Netflix
Soul Surfer,"dramas, faith & spirituality, sports movies",2011,soul surfer,Netflix
Soul to Keep,"horror movies, independent movies",2019,soul to keep,Netflix
Sour Grapes,documentaries,2016,sour grapes,Netflix
Space Racers,kids' tv,2014,space racers,Netflix
Sparkle,"dramas, music & musicals",1976,sparkle,Netflix
Spartacus,"tv action & adventure, tv dramas",2013,spartacus,Netflix
Speech & Debate,"comedies, dramas, independent movies",2017,speech  debate,Netflix
Speed Is My Need,"documentaries, sports movies",2019,speed is my need,Netflix
Spider-Man 3,"action & adventure, sci-fi & fantasy",2007,spiderman 3,Netflix
Spider-Man: Into the Spider-Verse,"action & adventure, comedies",2018,spiderman into the spiderverse,Netflix
Spitfire: The Plane that Saved the World,documentaries,2018,spitfire the plane that saved the world,Netflix
Splash and Bubbles,kids' tv,2018,splash and bubbles,Netflix
Spotlight,"dramas, independent movies",2015,spotlight,Netflix
Spring Breakers,"comedies, cult movies, dramas",2012,spring breakers,Netflix
Sprinter,"dramas, international movies, sports movies",2018,sprinter,Netflix
Spy Kids,"children & family movies, comedies",2001,spy kids,Netflix
Spy Kids 2: The Island of Lost Dreams,"children & family movies, comedies",2002,spy kids 2 the island of lost dreams,Netflix
Spy Kids 3: Game Over,"children & family movies, comedies",2003,spy kids 3 game over,Netflix
Spy Time,"action & adventure, comedies, international movies",2015,spy time,Netflix
St. Agatha,"horror movies, independent movies",2018,st agatha,Netflix
Staged Killer,thrillers,2019,staged killer,Netflix
Standoff,action & adventure,2015,standoff,Netflix
Star Men,documentaries,2015,star men,Netflix
Star Wars: Episode VIII: The Last Jedi,"action & adventure, children & family movies, sci-fi & fantasy",2017,star wars episode viii the last jedi,Netflix
Star-Crossed,"romantic tv shows, tv dramas, tv sci-fi & fantasy",2014,starcrossed,Netflix
Starred Up,"dramas, independent movies, international movies",2013,starred up,Netflix
Station Horizon,"international tv shows, tv comedies, tv dramas",2015,station horizon,Netflix
Stealing History,"documentaries, international movies",2006,stealing history,Netflix
Step Brothers,comedies,2008,step brothers,Netflix
Step Outside,"comedies, international movies",2018,step outside,Netflix
Stephanie,horror movies,2017,stephanie,Netflix
Sthaniya Sambaad,"dramas, international movies",2010,sthaniya sambaad,Netflix
Still,"horror movies, international movies",2010,still,Netflix
Stink!,documentaries,2015,stink,Netflix
Stoked,kids' tv,2010,stoked,Netflix
Stone Age,"kids' tv, korean tv shows",2017,stone age,Netflix
Stonehearst Asylum,"horror movies, thrillers",2014,stonehearst asylum,Netflix
Stop at Nothing: The Lance Armstrong Story,"documentaries, international movies, sports movies",2014,stop at nothing the lance armstrong story,Netflix
Storage Wars: Northern Treasures,"international tv shows, reality tv",2015,storage wars northern treasures,Netflix
Story of an Egg,"comedies, international movies, romantic movies",2017,story of an egg,Netflix
Straight Up,"comedies, independent movies, lgbtq movies",2020,straight up,Netflix
Strange but True,"dramas, thrillers",2019,strange but true,Netflix
Stranger than Fiction,"comedies, romantic movies",2006,stranger than fiction,Netflix
Strawberry Shortcake: Berry Bitty Adventures,kids' tv,2015,strawberry shortcake berry bitty adventures,Netflix
Strictly Ballroom,"classic movies, comedies, romantic movies",1992,strictly ballroom,Netflix
Strike a Pose,"documentaries, international movies, lgbtq movies",2016,strike a pose,Netflix
Stripes,"classic movies, comedies, cult movies",1981,stripes,Netflix
Striptease,"comedies, dramas",1996,striptease,Netflix
Strong Girl Bong-soon,"crime tv shows, international tv shows, korean tv shows",2017,strong girl bongsoon,Netflix
Stronger Than the World,"action & adventure, dramas, international movies",2016,stronger than the world,Netflix
Strongland,"docuseries, international tv shows",2018,strongland,Netflix
Stuart Little 2,"children & family movies, comedies",2002,stuart little 2,Netflix
Submission,"action & adventure, dramas",2019,submission,Netflix
Suburra,"dramas, international movies, thrillers",2015,suburra,Netflix
Suckseed,"comedies, international movies, music & musicals",2011,suckseed,Netflix
Sudani from Nigeria,"comedies, dramas, international movies",2018,sudani from nigeria,Netflix
Suicide (Hitabdut),"international movies, thrillers",2014,suicide hitabdut,Netflix
Suite Française,"dramas, international movies, romantic movies",2014,suite franaise,Netflix
Suits,"international tv shows, korean tv shows, tv comedies",2018,suits,Netflix
Summer Night,"comedies, dramas, romantic movies",2019,summer night,Netflix
Summer of '92,"dramas, international movies, sports movies",2015,summer of 92,Netflix
Sunrise,"dramas, independent movies, international movies",2014,sunrise,Netflix
Super Bheem,kids' tv,2019,super bheem,Netflix
Super Bheem Bana Vajraveer,children & family movies,2018,super bheem bana vajraveer,Netflix
Super Dark Times,"dramas, independent movies, thrillers",2017,super dark times,Netflix
Super Nani,"comedies, dramas, international movies",2014,super nani,Netflix
Super Wings,"kids' tv, korean tv shows",2020,super wings,Netflix
Superbad,"comedies, cult movies",2007,superbad,Netflix
Superfly,"action & adventure, classic movies, dramas",1972,superfly,Netflix
Superman Returns,"action & adventure, sci-fi & fantasy",2006,superman returns,Netflix
SuperNature: Wild Flyers,"british tv shows, docuseries, science & nature tv",2016,supernature wild flyers,Netflix
Superstar,comedies,1999,superstar,Netflix
Surat Dari Praha,"dramas, international movies, romantic movies",2016,surat dari praha,Netflix
Surviving R. Kelly Part II: The Reckoning,"crime tv shows, docuseries",2020,surviving r kelly part ii the reckoning,Netflix
Survivors Guide to Prison,documentaries,2017,survivors guide to prison,Netflix
Susanne Bartsch: On Top,"documentaries, lgbtq movies",2017,susanne bartsch on top,Netflix
Sustainable,documentaries,2016,sustainable,Netflix
Swami,"dramas, independent movies, international movies",1977,swami,Netflix
Swami Baba Ramdev: The Untold Story,"international tv shows, tv dramas",2018,swami baba ramdev the untold story,Netflix
Sweeney Todd: The Demon Barber of Fleet Street,"dramas, horror movies, music & musicals",2007,sweeney todd the demon barber of fleet street,Netflix
Sweet Virginia,"dramas, independent movies, thrillers",2017,sweet virginia,Netflix
Swiss Army Man,"comedies, dramas, independent movies",2016,swiss army man,Netflix
Sword Master,"action & adventure, dramas, international movies",2016,sword master,Netflix
Sword Masters: Two Champions of Shaolin,"action & adventure, international movies",1980,sword masters two champions of shaolin,Netflix
Sym-Bionic Titan,kids' tv,2010,symbionic titan,Netflix
Taal,"dramas, international movies, music & musicals",1999,taal,Netflix
Tahaan,"dramas, international movies",2008,tahaan,Netflix
Take Me Home Tonight,"comedies, romantic movies",2011,take me home tonight,Netflix
Taken,"crime tv shows, tv action & adventure, tv thrillers",2018,taken,Netflix
Tamanchey,"action & adventure, international movies, romantic movies",2014,tamanchey,Netflix
Tarif de nuit,"international movies, thrillers",2015,tarif de nuit,Netflix
Tarzan,children & family movies,1999,tarzan,Netflix
Tarzan 2,children & family movies,2005,tarzan 2,Netflix
Tattah,"comedies, international movies",2013,tattah,Netflix
Tayo the Little Bus Movie: Mission Ace,children & family movies,2016,tayo the little bus movie mission ace,Netflix
Teach Us All,documentaries,2017,teach us all,Netflix
