title,genres,year,clean_title,source
Welcome Home Roscoe Jenkins,comedies,2008,welcome home roscoe jenkins,Netflix
In the Line of Fire,"action & adventure, classic movies",1993,in the line of fire,Netflix
Sparking Joy,reality tv,2021,sparking joy,Netflix
Untold: Crime & Penalties,"documentaries, sports movies",2021,untold crime  penalties,Netflix
Hometown Cha-Cha-Cha,"international tv shows, romantic tv shows, tv comedies",2021,hometown chachacha,Netflix
The Ingenuity of the Househusband,"international tv shows, tv comedies",2021,the ingenuity of the househusband,Netflix
2 Alone in Paris,"comedies, international movies",2008,2 alone in paris,Netflix
Bread Barbershop,"kids' tv, tv comedies",2020,bread barbershop,Netflix
Thimmarusu,"dramas, international movies",2021,thimmarusu,Netflix
Wind River,"dramas, independent movies",2017,wind river,Netflix
C Kkompany,"action & adventure, comedies, international movies",2008,c kkompany,Netflix
D.P.,"international tv shows, tv dramas",2021,dp,Netflix
Deadly Sins,"international tv shows, spanish-language tv shows, tv dramas",2002,deadly sins,Netflix
EMI: Liya Hai To Chukana Padega,"comedies, dramas, international movies",2008,emi liya hai to chukana padega,Netflix
He's All That,"comedies, romantic movies",2021,hes all that,Netflix
I Heart Arlo,"kids' tv, tv comedies",2021,i heart arlo,Netflix
King of Boys: The Return of the King,"crime tv shows, international tv shows, tv dramas",2021,king of boys the return of the king,Netflix
Koi Aap Sa,"comedies, dramas, international movies",2006,koi aap sa,Netflix
Krishna Cottage,"action & adventure, horror movies, international movies",2004,krishna cottage,Netflix
Kucch To Hai,"dramas, international movies, thrillers",2003,kucch to hai,Netflix
Kyaa Kool Hai Hum,"comedies, international movies, music & musicals",2005,kyaa kool hai hum,Netflix
Kyaa Kool Hain Hum 3,"comedies, international movies",2016,kyaa kool hain hum 3,Netflix
Kyaa Super Kool Hain Hum,"comedies, international movies",2012,kyaa super kool hain hum,Netflix
Kyo Kii... Main Jhuth Nahin Bolta,"comedies, international movies, sci-fi & fantasy",2001,kyo kii main jhuth nahin bolta,Netflix
"LSD: Love, Sex Aur Dhokha","dramas, independent movies, international movies",2010,lsd love sex aur dhokha,Netflix
Mission Istaanbul: Darr Ke Aagey Jeet Hai,"action & adventure, international movies, music & musicals",2008,mission istaanbul darr ke aagey jeet hai,Netflix
Once Upon a Time in Mumbaai,"dramas, international movies, music & musicals",2010,once upon a time in mumbaai,Netflix
Once Upon a Time in Mumbai Dobaara!,"dramas, international movies, music & musicals",2013,once upon a time in mumbai dobaara,Netflix
Ragini MMS,"horror movies, international movies",2011,ragini mms,Netflix
Ragini MMS 2,"horror movies, international movies",2014,ragini mms 2,Netflix
Rebellion,"international tv shows, tv dramas",2016,rebellion,Netflix
RIDE ON TIME,"docuseries, international tv shows",2021,ride on time,Netflix
SAS: Rise of the Black Swan,"action & adventure, international movies",2021,sas rise of the black swan,Netflix
Shootout at Lokhandwala,"action & adventure, dramas, international movies",2007,shootout at lokhandwala,Netflix
Shor In the City,"comedies, dramas, independent movies",2011,shor in the city,Netflix
The Dirty Picture,"comedies, dramas, international movies",2011,the dirty picture,Netflix
Titletown High,"reality tv, teen tv shows",2021,titletown high,Netflix
EDENS ZERO,"anime series, international tv shows",2021,edens zero,Netflix
Family Reunion,"kids' tv, tv comedies",2021,family reunion,Netflix
"Bob Ross: Happy Accidents, Betrayal & Greed",documentaries,2021,bob ross happy accidents betrayal  greed,Netflix
